date_time,title,link,author,comments_amount,likes_amount
2021-03-26T02:31:11.520Z,Toward A Bayesian Theory Of Willpower,https://astralcodexten.substack.com/p/towards-a-bayesian-theory-of-willpower,Scott Alexander,426,127
2021-03-26T03:50:29.490Z,Hidden Open Thread 164.5,https://astralcodexten.substack.com/p/hidden-open-thread-1645,Scott Alexander,134,119
2021-03-27T17:52:44.783Z,Ask Me Anything,https://astralcodexten.substack.com/p/ask-me-anything,Scott Alexander,594,357
2021-03-29T03:57:32.877Z,Open Thread 165,https://astralcodexten.substack.com/p/open-thread-165,Scott Alexander,352,25
2021-03-31T04:17:51.280Z,"Oh, The Places You'll Go When Trying To Figure Out The Right Dose Of Escitalopram",https://astralcodexten.substack.com/p/oh-the-places-youll-go-when-trying,Scott Alexander,125,71
2021-04-01T18:44:11.857Z,Hidden Open Thread 165.5,https://astralcodexten.substack.com/p/hidden-open-thread-1655,Scott Alexander,229,114
2021-04-01T19:11:57.568Z,Ambidexterity And Cognitive Closure,https://astralcodexten.substack.com/p/ambidexterity-and-cognitive-closure,Scott Alexander,258,71
2021-04-04T22:51:46.881Z,Open Thread 166,https://astralcodexten.substack.com/p/open-thread-166,Scott Alexander,518,49
2021-04-05T23:42:40.443Z,2020 Predictions: Calibration Results,https://astralcodexten.substack.com/p/2020-predictions-calibration-results,Scott Alexander,165,61
2021-04-06T18:18:53.357Z,Two Unexpected Multiple Hypothesis Testing Problems,https://astralcodexten.substack.com/p/two-unexpected-multiple-hypothesis,Scott Alexander,277,67
2021-04-07T20:26:50.609Z,Metis And Bodybuilders,https://astralcodexten.substack.com/p/metis-and-bodybuilders,Scott Alexander,271,110
2021-04-08T22:50:13.050Z,Hidden Open Thread 166.5,https://astralcodexten.substack.com/p/hidden-open-thread-1665,Scott Alexander,210,109
2021-04-09T19:22:12.662Z,Your Book Review: On The Natural Faculties,https://astralcodexten.substack.com/p/your-book-review-on-the-natural-faculties,Scott Alexander,223,147
2021-04-11T21:12:45.134Z,Open Thread 167,https://astralcodexten.substack.com/p/open-thread-167,Scott Alexander,296,29
2021-04-11T21:44:14.590Z,From The Rejects Pile: Catch-22,https://astralcodexten.substack.com/p/from-the-rejects-pile-catch-22,Scott Alexander,95,109
2021-04-12T20:43:09.653Z,Links For April,https://astralcodexten.substack.com/p/links-for-april,Scott Alexander,419,52
2021-04-14T08:02:18.845Z,[LINK] Unifying Predictive Coding With Backpropagation,https://astralcodexten.substack.com/p/link-unifying-predictive-coding-with,Scott Alexander,89,46
2021-04-08T23:31:08.947Z,Your Book Review: Order Without Law,https://astralcodexten.substack.com/p/your-book-review-order-without-law,Scott Alexander,182,31
2021-04-14T20:55:32.095Z,Prospectus On Próspera,https://astralcodexten.substack.com/p/prospectus-on-prospera,Scott Alexander,555,194
2021-04-16T23:04:47.053Z,Hidden Open Thread 167.5,https://astralcodexten.substack.com/p/hidden-open-thread-1675,Scott Alexander,281,114
2021-04-17T18:40:12.018Z,Georgist Cartoons Of The Late 19th/Early 20th Century,https://astralcodexten.substack.com/p/georgist-cartoons-of-the-late-19thearly,Scott Alexander,26,42
2021-04-19T00:25:09.368Z,Open Thread 168,https://astralcodexten.substack.com/p/open-thread-168,Scott Alexander,419,24
2021-04-21T00:27:50.206Z,"No, Really, Why Are So Many Christians In Colombia Converting To Orthodox Judaism?",https://astralcodexten.substack.com/p/no-really-why-are-so-many-christians,Scott Alexander,179,146
2021-04-21T20:43:02.081Z,Book Review: Global Economic History,https://astralcodexten.substack.com/p/book-review-global-economic-history,Scott Alexander,470,67
2021-04-21T23:53:45.758Z,Hidden Open Thread 168.5,https://astralcodexten.substack.com/p/hidden-open-thread-1685,Scott Alexander,228,93
2021-04-16T04:21:15.962Z,Your Book Review: Progress And Poverty,https://astralcodexten.substack.com/p/your-book-review-progress-and-poverty,Scott Alexander,525,134
2021-04-19T19:16:56.374Z,Mantic Monday: Grading My Trump Predictions,https://astralcodexten.substack.com/p/mantic-monday-grading-my-trump-predictions,Scott Alexander,1017,93
2021-04-22T19:56:37.533Z,Your Book Review: Are We Smart Enough To Know How Smart Animals Are?,https://astralcodexten.substack.com/p/your-book-review-are-we-smart-enough,Scott Alexander,88,50
2021-04-23T20:28:00.989Z,Your Book Review: Why Buddhism Is True,https://astralcodexten.substack.com/p/your-book-review-why-buddhism-is,Scott Alexander,189,50
2021-04-25T21:56:38.110Z,Open Thread 169,https://astralcodexten.substack.com/p/open-thread-169,Scott Alexander,466,28
2021-04-26T23:12:17.438Z,Mantic Monday: Predictions For 2021,https://astralcodexten.substack.com/p/mantic-monday-predictions-for-2021,Scott Alexander,258,49
2021-04-30T00:04:29.134Z,Your Book Review: Double Fold,https://astralcodexten.substack.com/p/your-book-review-double-fold,Scott Alexander,198,55
2021-04-30T16:27:36.423Z,Hidden Open Thread 169.5,https://astralcodexten.substack.com/p/hidden-open-thread-1695,Scott Alexander,195,66
2021-04-27T17:28:44.541Z,Verses Written On The Occasion Of Getting The COVID Vaccine,https://astralcodexten.substack.com/p/verses-written-on-the-occasion-of,Scott Alexander,350,152
2021-04-28T18:57:38.726Z,Nootropics Survey 2020 Results,https://astralcodexten.substack.com/p/nootropics-survey-2020-results,Scott Alexander,139,81
2021-04-30T16:27:55.789Z,Your Book Review: The Wizard And The Prophet,https://astralcodexten.substack.com/p/your-book-review-the-wizard-and-the,Scott Alexander,334,84
2021-05-03T03:18:49.611Z,Open Thread 170,https://astralcodexten.substack.com/p/open-thread-170,Scott Alexander,698,27
2021-05-03T23:25:54.951Z,"If You Can Be Bad, You Can Also Be Good",https://astralcodexten.substack.com/p/if-you-can-be-bad-you-can-also-be,Scott Alexander,535,177
2021-05-04T22:08:31.628Z,Book Review: A Brief History Of Neoliberalism,https://astralcodexten.substack.com/p/book-review-a-brief-history-of-neoliberalism,Scott Alexander,564,63
2021-05-05T20:54:54.735Z,Why Is It Hard To Acknowledge Preferences?,https://astralcodexten.substack.com/p/why-is-it-hard-to-acknowledge-preferences,Scott Alexander,571,170
2021-05-06T20:46:45.951Z,Your Book Review: Through The Eye Of A Needle,https://astralcodexten.substack.com/p/your-book-review-through-the-eye,Scott Alexander,107,45
2021-05-07T20:40:49.502Z,Hidden Open Thread 170.5,https://astralcodexten.substack.com/p/hidden-open-thread-1705,Scott Alexander,195,70
2021-05-07T21:56:19.615Z,Your Book Review: The Years Of Lyndon Johnson,https://astralcodexten.substack.com/p/your-book-review-the-years-of-lyndon,Scott Alexander,86,60
2021-05-08T20:22:27.077Z,My Favorite ICD-10 Codes,https://astralcodexten.substack.com/p/my-favorite-icd-10-codes,Scott Alexander,85,75
2021-05-09T21:55:10.957Z,Open Thread 171,https://astralcodexten.substack.com/p/open-thread-171,Scott Alexander,346,37
