date_time,title,link,author,comments_amount,likes_amount
2021-05-24T12:56:35.646Z,We Don't Need a Civil War,https://arnoldkling.substack.com/p/we-dont-need-a-civil-war,Arnold Kling,13,4
2021-05-29T11:07:41.812Z,Defenders of Liberal Values,https://arnoldkling.substack.com/p/defenders-of-liberal-values,Arnold Kling,4,7
2021-06-03T12:31:11.214Z,Final Standings for May,https://arnoldkling.substack.com/p/final-standings-for-may,Arnold Kling,6,4
2021-06-03T18:51:08.874Z,The Real Problem of Social Media Discourse,https://arnoldkling.substack.com/p/the-real-problem-of-social-media,Arnold Kling,4,9
2021-05-26T12:44:37.977Z,Economic Discourse Collapses in the Age of Twitter,https://arnoldkling.substack.com/p/economic-discourse-collapses-in-the,Arnold Kling,6,7
2021-06-12T12:39:19.899Z,What's Wrong with Inflation?,https://arnoldkling.substack.com/p/whats-wrong-with-inflation,Arnold Kling,4,16
2021-06-17T03:11:09.921Z,Understanding Financial Institutions,https://arnoldkling.substack.com/p/understanding-financial-institutions,Arnold Kling,15,18
2021-06-23T16:43:17.741Z,Jonathan Rauch on What Ails the Reality-based Community,https://arnoldkling.substack.com/p/jonathan-rauch-on-what-ails-the-reality,Arnold Kling,11,8
2021-06-11T12:11:39.010Z,There is No Labor Shortage,https://arnoldkling.substack.com/p/there-is-no-labor-shortage,Arnold Kling,5,7
2021-06-09T12:20:17.471Z,George Packer rediscovers four traditions,https://arnoldkling.substack.com/p/george-packer-rediscovers-four-traditions,Arnold Kling,6,8
2021-06-25T18:11:25.494Z,Notes for a Workshop on Polarization,https://arnoldkling.substack.com/p/notes-for-a-workshop-on-polarization,Arnold Kling,5,7
2021-06-10T17:19:15.505Z,Inflation:  Nothing to See Here?,https://arnoldkling.substack.com/p/inflation-nothing-to-see-here,Arnold Kling,11,7
2021-06-29T02:10:48.904Z,Notes from a talk by Jonathan Haidt,https://arnoldkling.substack.com/p/notes-from-a-talk-by-jonathan-haidt,Arnold Kling,6,6
2021-07-04T13:06:32.290Z,Notes on racial gaps,https://arnoldkling.substack.com/p/notes-on-racial-gaps,Arnold Kling,10,5
2021-07-09T18:57:20.037Z,Doing Away with College,https://arnoldkling.substack.com/p/doing-away-with-college,Arnold Kling,8,11
2021-07-25T12:34:31.991Z,Interest Rates and Inflation,https://arnoldkling.substack.com/p/interest-rates-and-inflation,Arnold Kling,9,6
2021-07-27T12:32:58.142Z,Stock Market Exuberance,https://arnoldkling.substack.com/p/stock-market-exuberance,Arnold Kling,2,3
2021-07-27T23:09:54.222Z,Can't Duck Critical Race Theory,https://arnoldkling.substack.com/p/cant-duck-critical-race-theory,Arnold Kling,4,10
2021-07-29T11:35:03.721Z,Dear young renter,https://arnoldkling.substack.com/p/dear-young-renter,Arnold Kling,14,5
2021-07-30T12:37:12.098Z,"Interest Rates, Inflation, and History",https://arnoldkling.substack.com/p/interest-rates-inflation-and-history,Arnold Kling,2,4
2021-08-01T13:14:42.571Z,A Government Debt Crisis?,https://arnoldkling.substack.com/p/a-government-debt-crisis,Arnold Kling,2,1
2021-08-03T12:12:51.566Z,"1965:  Baseball, Race, and Economics",https://arnoldkling.substack.com/p/1965-baseball-race-and-economics,Arnold Kling,3,3
2021-08-04T14:45:26.819Z,Are Rental Contracts Ethical?,https://arnoldkling.substack.com/p/are-rental-contracts-ethical,Arnold Kling,8,10
2021-08-06T22:35:50.340Z,"1967:  Smoking, Music, and Hippies",https://arnoldkling.substack.com/p/1967-smoking-music-and-hippies,Arnold Kling,6,6
2021-08-16T22:57:05.330Z,Fantasy Intellectuals on Afghanistan,https://arnoldkling.substack.com/p/fantasy-intellectuals-on-afghanistan,Arnold Kling,10,3
2021-08-23T18:12:52.818Z,Catching up with the FITS,https://arnoldkling.substack.com/p/catching-up-with-the-fits,Arnold Kling,6,5
2021-08-25T11:44:52.692Z,Catching up with the FITS (2),https://arnoldkling.substack.com/p/catching-up-with-the-fits-2,Arnold Kling,3,3
2021-08-26T21:13:29.243Z,Tyler Cowen Disagrees with me about Inflation,https://arnoldkling.substack.com/p/tyler-cowen-disagrees-with-me-about,Arnold Kling,19,8
2021-08-28T14:07:41.776Z,"Catching up with the FITS, no. 3",https://arnoldkling.substack.com/p/catching-up-with-the-fits-no-3,Arnold Kling,,3
2021-08-30T13:44:24.749Z,The Game of Acquiring Status,https://arnoldkling.substack.com/p/the-game-of-acquiring-status,Arnold Kling,11,10
2021-08-31T01:01:00.093Z,"Catching up with the FITs, no. 4",https://arnoldkling.substack.com/p/catching-up-with-the-fits-no-4,Arnold Kling,1,4
2021-08-31T20:23:00.701Z,Meetup on Zoom,https://arnoldkling.substack.com/p/meetup-on-zoom,Arnold Kling,1,4
2021-09-02T12:20:40.182Z,"Catching up with the FITs, No. 5",https://arnoldkling.substack.com/p/catching-up-with-the-fits-no-5,Arnold Kling,,3
2021-09-04T11:41:54.676Z,"Keeping up with the FITs, No. 6",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-6,Arnold Kling,2,4
2021-09-07T12:22:45.305Z,"Keeping up with the FITs, no. 7",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-7,Arnold Kling,3,5
2021-09-09T13:35:37.471Z,Stock prices and interest rates,https://arnoldkling.substack.com/p/stock-prices-and-interest-rates,Arnold Kling,8,2
2021-09-10T13:03:50.868Z,"Keeping up with the FITs, No. 8",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-8,Arnold Kling,2,2
2021-09-13T16:00:19.203Z,"Keeping up with the FITs, No. 9",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-9,Arnold Kling,4,2
2021-09-17T11:59:17.540Z,Scott Alexander vs. Martin Gurri,https://arnoldkling.substack.com/p/scott-alexander-vs-martin-gurri,Arnold Kling,4,10
2021-09-24T23:14:04.115Z,"Keeping up with the FITs, No. 10",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-10,Arnold Kling,7,3
2021-09-28T16:26:20.727Z,Seminar:  Modern Problems,https://arnoldkling.substack.com/p/seminar-modern-problems,Arnold Kling,23,1
2021-09-28T20:57:02.650Z,"Keeping up with the FITs, No. 11",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-11,Arnold Kling,4,2
2021-09-29T06:34:17.871Z,A Pinker Disappointment,https://arnoldkling.substack.com/p/a-pinker-disappointment,Arnold Kling,14,4
2021-09-30T14:09:57.462Z,"Keeping up with the FITs, No. 12",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-12,Arnold Kling,2,4
2021-10-01T12:21:05.657Z,"Keeping up with the FITs, No. 13",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-13,Arnold Kling,2,3
2021-10-02T11:49:06.625Z,School Then and Now,https://arnoldkling.substack.com/p/school-then-and-now,Arnold Kling,3,4
2021-10-02T12:10:27.876Z,Seminar:  further thoughts,https://arnoldkling.substack.com/p/seminar-further-thoughts,Arnold Kling,8,2
2021-10-04T11:52:15.488Z,"Keeping up with the FITs, No. 14",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-14,Arnold Kling,,4
2021-10-05T12:47:42.131Z,"Keeping up with the FITs, No. 15",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-15,Arnold Kling,3,4
2021-10-06T18:52:53.915Z,"Keeping up with the FITs, No. 16",https://arnoldkling.substack.com/p/keeping-up-with-the-fits-no-16,Arnold Kling,7,3
